,date,closing,adjusted,evolution,quantity,volume
0,2020-01-04,3315.0,3315.0,0.0,0.0,0.0
1,2020-01-06,3350.0,3350.0,0.0,0.0,0.0
2,2020-01-07,3670.0,3670.0,0.0,0.0,0.0
3,2020-01-09,3580.0,3580.0,3.71,6.0,21480.0
4,2020-01-10,3367.0,3367.0,0.0,32.0,107744.0
5,2020-01-12,3475.0,3475.0,0.0,0.0,0.0
6,2020-01-13,4089.0,4089.0,3.0,3.0,12267.0
7,2020-01-14,4150.0,4150.0,1.49,2000.0,8300000.0
8,2020-01-15,4250.0,4250.0,2.41,5394.0,22921220.0
9,2020-01-16,4320.0,4320.0,1.65,5310.0,22923200.0
10,2020-01-17,4260.0,4260.0,-1.39,10234.0,44191440.0
11,2020-01-20,4260.0,4260.0,0.0,0.0,0.0
12,2020-01-21,4385.0,4385.0,2.93,4748.0,20809065.0
13,2020-01-22,4600.0,4600.0,4.9,3357.0,15116497.0
14,2020-01-23,4470.0,4470.0,-2.83,11.0,49170.0
15,2020-01-24,4470.0,4470.0,0.0,0.0,0.0
16,2020-01-27,4450.0,4450.0,-0.45,2285.0,10168200.0
17,2020-01-28,4450.0,4450.0,0.0,442.0,1966900.0
18,2020-01-29,4480.0,4480.0,0.67,10.0,44800.0
19,2020-01-30,4400.0,4400.0,-1.79,130.0,572000.0
20,2020-01-31,4300.0,4300.0,-2.27,9.0,38700.0
21,2020-02-01,3900.0,3900.0,0.0,0.0,0.0
22,2020-02-03,4302.0,4302.0,-0.19,50.0,215094.0
23,2020-02-04,3350.0,3350.0,1.06,5170.0,17358619.0
24,2020-02-06,3355.0,3355.0,0.15,20.0,67100.0
25,2020-02-07,3670.0,3670.0,0.0,0.0,0.0
26,2020-02-09,3580.0,3580.0,0.0,0.0,0.0
27,2020-02-10,3367.0,3367.0,0.0,0.0,0.0
28,2020-02-11,3355.0,3355.0,0.0,3.0,10065.0
29,2020-02-12,3475.0,3475.0,0.0,0.0,0.0
30,2020-02-13,4201.0,4201.0,0.0,0.0,0.0
31,2020-02-14,4475.0,4475.0,6.52,67.0,299825.0
32,2020-02-17,4500.0,4500.0,0.56,45.0,202500.0
33,2020-02-18,4500.0,4500.0,0.0,0.0,0.0
34,2020-02-19,4500.0,4500.0,0.0,0.0,0.0
35,2020-02-20,4500.0,4500.0,0.0,0.0,0.0
36,2020-02-21,4555.0,4555.0,1.22,207.0,940455.0
37,2020-02-24,4300.0,4300.0,-5.6,50.0,215000.0
38,2020-02-25,4300.0,4300.0,0.0,0.0,0.0
39,2020-02-26,4303.0,4303.0,0.07,394.0,1695043.0
40,2020-02-27,4303.0,4303.0,0.0,0.0,0.0
41,2020-02-28,4310.0,4310.0,0.16,728.0,3137652.0
42,2020-03-01,3900.0,3900.0,0.0,0.0,0.0
43,2020-03-02,4475.0,4475.0,4.07,1.0,4475.0
44,2020-03-03,4302.0,4302.0,0.0,122.0,524742.0
45,2020-03-04,3350.0,3350.0,0.0,172.0,576200.0
46,2020-03-06,3355.0,3355.0,0.0,0.0,0.0
47,2020-03-07,3670.0,3670.0,0.0,0.0,0.0
48,2020-03-08,3580.0,3580.0,0.0,0.0,0.0
49,2020-03-09,3580.0,3580.0,0.0,0.0,0.0
50,2020-03-11,3360.0,3360.0,0.15,307.0,1031379.0
51,2020-03-12,3600.0,3600.0,3.6,969.0,3465213.0
52,2020-03-13,3451.0,3451.0,-7.48,721.0,2488171.0
53,2020-03-16,3106.0,3106.0,-10.0,498.0,1610288.0
54,2020-03-17,3106.0,3106.0,0.0,0.0,0.0
55,2020-03-18,3106.0,3106.0,0.0,600.0,1835600.0
56,2020-03-19,3230.0,3230.0,3.99,759.0,2439170.0
57,2020-03-20,3359.0,3359.0,3.99,150.0,503850.0
58,2020-03-23,3493.0,3493.0,3.99,85.0,295940.0
59,2020-03-24,3562.0,3562.0,1.98,2.0,7124.0
60,2020-03-25,3498.0,3498.0,-1.8,106.0,370533.0
61,2020-03-26,3449.0,3449.0,-1.4,1400.0,4829779.0
62,2020-03-27,3315.0,3315.0,-3.89,139.0,461054.0
63,2020-03-30,3315.0,3315.0,0.0,0.0,0.0
64,2020-03-31,3315.0,3315.0,0.0,301.0,996750.0
65,2020-04-02,4475.0,4475.0,0.0,0.0,0.0
66,2020-04-03,4302.0,4302.0,0.0,253.0,1088406.0
67,2020-04-05,3349.0,3349.0,0.0,0.0,0.0
68,2020-04-06,3355.0,3355.0,0.0,0.0,0.0
69,2020-04-08,3580.0,3580.0,0.0,0.0,0.0
70,2020-04-09,3580.0,3580.0,0.0,0.0,0.0
71,2020-04-11,3360.0,3360.0,0.0,0.0,0.0
72,2020-04-12,3551.0,3551.0,-1.36,8.0,28408.0
73,2020-04-13,3350.0,3350.0,0.0,0.0,0.0
74,2020-04-14,3350.0,3350.0,0.0,888.0,2974800.0
75,2020-04-15,3350.0,3350.0,0.0,0.0,0.0
76,2020-04-16,3350.0,3350.0,0.0,3165.0,10602030.0
77,2020-04-17,3389.0,3389.0,1.16,383.0,1286287.0
78,2020-04-20,3500.0,3500.0,3.28,1000.0,3500000.0
79,2020-04-21,3500.0,3500.0,0.0,0.0,0.0
80,2020-04-22,3500.0,3500.0,0.0,0.0,0.0
81,2020-04-23,3361.0,3361.0,-3.97,3100.0,10419100.0
82,2020-04-24,3350.0,3350.0,-0.33,35.0,117250.0
