,date,closing,adjusted,evolution,quantity,volume
0,2020-01-04,61.0,61.0,-2.24,452.0,27647.0
1,2020-01-06,65.39,65.39,0.0,0.0,0.0
2,2020-01-07,68.84,68.84,-1.45,2227.0,149765.36
3,2020-01-09,73.0,73.0,0.69,2231.0,162263.05
4,2020-01-10,78.5,78.5,0.0,1389.0,108405.6
5,2020-01-12,81.9,81.9,1.11,281.0,22773.5
6,2020-01-13,73.1,73.1,-2.53,1200.0,89674.8
7,2020-01-14,73.01,73.01,-0.12,1813.0,132700.48
8,2020-01-15,72.68,72.68,-0.45,58.0,4223.69
9,2020-01-16,75.0,75.0,3.19,16205.0,1210316.02
10,2020-01-17,80.0,80.0,6.67,124108.0,9908847.7
11,2020-01-20,77.25,77.25,-3.44,50.0,3830.7
12,2020-01-21,77.4,77.4,0.19,80.0,6192.0
13,2020-01-22,78.5,78.5,1.42,3630.0,284884.33
14,2020-01-23,79.95,79.95,1.85,46366.0,3708931.72
15,2020-01-24,78.91,78.91,-1.3,9806.0,782327.26
16,2020-01-27,78.91,78.91,0.0,0.0,0.0
17,2020-01-28,78.4,78.4,-0.65,12511.0,982100.5
18,2020-01-29,78.4,78.4,0.0,324.0,25401.6
19,2020-01-30,77.5,77.5,-1.15,4520.0,350290.0
20,2020-01-31,79.0,79.0,1.94,13390.0,1037700.0
21,2020-02-01,74.4,74.4,-0.13,4.0,297.6
22,2020-02-03,80.0,80.0,-3.03,600.0,48000.0
23,2020-02-04,61.0,61.0,0.0,389.0,23809.0
24,2020-02-06,68.0,68.0,3.99,63380.0,4309803.0
25,2020-02-07,69.0,69.0,0.23,3185.0,217282.28
26,2020-02-09,73.0,73.0,0.0,0.0,0.0
27,2020-02-10,78.5,78.5,0.0,2074.0,161264.0
28,2020-02-11,80.99,80.99,1.26,350.0,28346.5
29,2020-02-12,81.5,81.5,-0.49,868.0,70492.0
30,2020-02-13,80.95,80.95,3.77,10.0,809.5
31,2020-02-14,83.0,83.0,2.53,18786.0,1539791.24
32,2020-02-17,83.0,83.0,0.0,250.0,20750.0
33,2020-02-18,81.9,81.9,-1.33,670.0,54761.0
34,2020-02-19,79.55,79.55,-2.87,46.0,3668.8
